,uqv_1,uqv_2,uqv_3,uqv_4,uqv_5,uqv_6,uqv_7,uqv_8,tts_s1,tts_s2,tts_s3,tts_s4,tts_s5,kis_s1,kis_s2,kis_s3,kis_s4,kis_s5,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8,qcmcqg_kis_s6,qcmcqg_kis_s7,qcmcqg_kis_s8
uqv_1,1.0,0.444654401154401,0.38990974221856584,0.3877925538513774,0.37467313125471013,0.42969509111459575,0.3388127313862607,0.3317821345321345,0.30322911728794083,0.3881440226440226,0.3856876778192568,0.30322911728794083,0.3881440226440226,0.14837523295418034,0.1610665445665446,0.16538637824164146,0.14837523295418034,0.1610665445665446,0.3697577749048338,0.3106610823816706,0.3467862496980144,0.22065517523412256,0.18896866729761466,0.21729477385359736
uqv_2,0.4756666666666666,1.0,0.33334126984126966,0.35843001443001443,0.3923412698412699,0.36191269841269835,0.28118534733240613,0.28697619047619055,0.18852380952380954,0.3419285714285714,0.3757380952380952,0.18852380952380954,0.3419285714285714,0.13371428571428573,0.18957142857142856,0.19237301587301586,0.13371428571428573,0.18957142857142856,0.36035714285714276,0.3249761904761905,0.34369047619047616,0.27332539682539686,0.19494444444444448,0.27332539682539686
uqv_3,0.4695916305916306,0.33273372379254723,1.0,0.3744475500345065,0.2987490287490288,0.3539121042356336,0.27253288051817465,0.28972866022866023,0.2270793650793651,0.3783405483405484,0.384562111801242,0.2270793650793651,0.3783405483405484,0.14474819624819626,0.16254968944099382,0.14444184318097364,0.14474819624819626,0.16254968944099382,0.3549047619047618,0.33411735366083195,0.34662182262182256,0.21546053946053945,0.17888838938838936,0.21446053946053947
uqv_4,0.37633327783327786,0.3300961815961815,0.29943927640986456,1.0,0.32082774904833733,0.34317382617382614,0.32439316402551704,0.2812851592851593,0.22187345987345983,0.26127707260060196,0.25661610285139697,0.22187345987345983,0.26127707260060196,0.15815817515817518,0.17796028971028968,0.18257281280810683,0.15815817515817518,0.17796028971028968,0.28258627483627485,0.2556154678654679,0.2969834577187518,0.2100702598055539,0.17456833689186627,0.20670836353189287
uqv_5,0.22513593984798047,0.17606273136608983,0.16998896630283764,0.23940847372351834,1.0,0.21069243966250967,0.2265306257456816,0.18806749828413813,0.20107432196363548,0.21079853143713984,0.21645973598310728,0.20107432196363548,0.21079853143713984,0.12437423090457872,0.12692244068418693,0.12413974834529654,0.12437423090457872,0.12692244068418693,0.21535936129178032,0.1832273971095226,0.21670172848867833,0.12601704259265922,0.11746399204316538,0.12794490859188953
uqv_6,0.4025599890305772,0.3715350760350759,0.3349776597671334,0.36490845463446075,0.35318240230701536,1.0,0.31225402246532286,0.3197072029277912,0.21839901842223822,0.288069218363336,0.31160216907275734,0.21839901842223822,0.288069218363336,0.14510582717935658,0.16394478268549478,0.1666754526003752,0.14510582717935658,0.16394478268549478,0.3257929015429016,0.28713407833996074,0.31543639075063223,0.23736784294137242,0.18678101954804746,0.23028241692947582
uqv_7,0.28930663780663785,0.2764234425705014,0.2769915052267994,0.2918018648018649,0.2707284382284383,0.3079572927072928,1.0,0.24756249306249306,0.10309668109668109,0.20537590187590182,0.24845404595404602,0.10309668109668109,0.20537590187590182,0.08852403152403152,0.12371545121545123,0.15578449328449323,0.08852403152403152,0.12371545121545123,0.22668398268398274,0.2174574314574315,0.22405772005772015,0.2005367965367966,0.1388535353535353,0.2005367965367966
uqv_8,0.30661437092319443,0.22850974429767004,0.2325176930912225,0.2597277858543843,0.27650254977013666,0.31758147897853783,0.27164917177765474,1.0,0.18316335029492922,0.20969862453122834,0.1964689448482552,0.18316335029492922,0.20969862453122834,0.1477101417101417,0.16404465176473296,0.16497598547986592,0.1477101417101417,0.16404465176473296,0.23848201425661375,0.2009188866688867,0.246886929862936,0.18541865258924084,0.15136601633660457,0.1790807878396114
tts_s1,0.2709871566342155,0.23196325896325903,0.22606404706404704,0.24838858028796107,0.20107432196363548,0.22945854655357953,0.2086023905574989,0.18485056793214014,1.0,0.9103636363636357,0.8354545454545456,1.0,0.9103636363636357,0.10864207086343307,0.10927863777089782,0.10580613297950757,0.10864207086343307,0.10927863777089782,0.2588824508824508,0.2044142605760252,0.25287032085561484,0.1180789190169995,0.11475887021475258,0.12490494996919145
tts_s2,0.2634761238073931,0.22174408924408928,0.21165404770667925,0.2480826063341543,0.21079853143713984,0.2244093250193667,0.20583513081345892,0.18809887493441996,0.9103636363636357,1.0,0.9177272727272723,0.9103636363636357,1.0,0.11265290677674576,0.11317063492063488,0.1096073472451182,0.11265290677674576,0.11317063492063488,0.263936112906701,0.20639903302751592,0.25898967698967695,0.12237326158533589,0.11575407504432263,0.12842606894309677
tts_s3,0.2607278822828358,0.20893918826271765,0.2010899699080477,0.23901275874108688,0.21645973598310728,0.21328741559512857,0.19988212484110307,0.18840437546511,0.8354545454545456,0.9177272727272723,1.0,0.8354545454545456,0.9177272727272723,0.11156970858518843,0.11202407087236813,0.10865926344187216,0.11156970858518843,0.11202407087236813,0.257897293882588,0.20253857683424237,0.2537179033556743,0.12074219863383945,0.11412122217307968,0.12596708683473387
tts_s4,0.2709871566342155,0.23196325896325903,0.22606404706404704,0.24838858028796107,0.20107432196363548,0.22945854655357953,0.2086023905574989,0.18485056793214014,1.0,0.9103636363636357,0.8354545454545456,1.0,0.9103636363636357,0.10864207086343307,0.10927863777089782,0.10580613297950757,0.10864207086343307,0.10927863777089782,0.2588824508824508,0.2044142605760252,0.25287032085561484,0.1180789190169995,0.11475887021475258,0.12490494996919145
tts_s5,0.2634761238073931,0.22174408924408928,0.21165404770667925,0.2480826063341543,0.21079853143713984,0.2244093250193667,0.20583513081345892,0.18809887493441996,0.9103636363636357,1.0,0.9177272727272723,0.9103636363636357,1.0,0.11265290677674576,0.11317063492063488,0.1096073472451182,0.11265290677674576,0.11317063492063488,0.263936112906701,0.20639903302751592,0.25898967698967695,0.12237326158533589,0.11575407504432263,0.12842606894309677
kis_s1,0.13275855628719407,0.1339915084915085,0.11718719146350724,0.15327029326023134,0.12437423090457872,0.1529480270331664,0.16652789693966163,0.14082485133831882,0.10864207086343307,0.11265290677674576,0.11156970858518843,0.10864207086343307,0.11265290677674576,1.0,0.9090909090909085,0.8333333333333336,1.0,0.9090909090909085,0.31331643356643357,0.4700867465867465,0.3249612054612054,0.8460000000000001,0.7759999999999999,0.79
kis_s2,0.13057055191110922,0.1304258682493977,0.11706114521947746,0.15244379047165427,0.12692244068418693,0.1517233807644025,0.1642726451395182,0.13947765022482117,0.10927863777089782,0.11317063492063488,0.11202407087236813,0.10927863777089782,0.11317063492063488,0.9090909090909085,1.0,0.9166666666666663,0.9090909090909085,1.0,0.30579214902744306,0.44785144757203577,0.31679849562202506,0.7690909090909088,0.7054545454545452,0.718181818181818
kis_s3,0.12641225601472614,0.12271581196581201,0.11285578905621979,0.14733079115586858,0.12413974834529654,0.148447405158369,0.16252581015550455,0.1384573659857113,0.10580613297950757,0.1096073472451182,0.10865926344187216,0.10580613297950757,0.1096073472451182,0.8333333333333336,0.9166666666666663,1.0,0.8333333333333336,0.9166666666666663,0.29567397471809237,0.42805941607412196,0.306245403289521,0.705,0.6466666666666666,0.6583333333333333
kis_s4,0.13275855628719407,0.1339915084915085,0.11718719146350724,0.15327029326023134,0.12437423090457872,0.1529480270331664,0.16652789693966163,0.14082485133831882,0.10864207086343307,0.11265290677674576,0.11156970858518843,0.10864207086343307,0.11265290677674576,1.0,0.9090909090909085,0.8333333333333336,1.0,0.9090909090909085,0.31331643356643357,0.4700867465867465,0.3249612054612054,0.8460000000000001,0.7759999999999999,0.79
kis_s5,0.13057055191110922,0.1304258682493977,0.11706114521947746,0.15244379047165427,0.12692244068418693,0.1517233807644025,0.1642726451395182,0.13947765022482117,0.10927863777089782,0.11317063492063488,0.11202407087236813,0.10927863777089782,0.11317063492063488,0.9090909090909085,1.0,0.9166666666666663,0.9090909090909085,1.0,0.30579214902744306,0.44785144757203577,0.31679849562202506,0.7690909090909088,0.7054545454545452,0.718181818181818
qcmcqg_tts_s6,0.3079212225682813,0.2796065046065046,0.25756560106560095,0.29135658459187874,0.21535936129178032,0.2844551069845188,0.3124886697409917,0.24441966157661404,0.2588824508824508,0.263936112906701,0.257897293882588,0.2588824508824508,0.263936112906701,0.31331643356643357,0.30579214902744306,0.29567397471809237,0.31331643356643357,0.30579214902744306,1.0,0.6859444444444445,0.8700238095238092,0.3553214563214563,0.3418067488067489,0.36659251859251846
qcmcqg_tts_s7,0.2471220021808257,0.22641619491619486,0.20835866137272782,0.24186825094410236,0.1832273971095226,0.23228918037586768,0.25853979353979356,0.19715496594908358,0.2044142605760252,0.20639903302751592,0.20253857683424237,0.2044142605760252,0.20639903302751592,0.4700867465867465,0.44785144757203577,0.42805941607412196,0.4700867465867465,0.44785144757203577,0.6859444444444445,1.0,0.713595238095238,0.47059174159174155,0.5139642024642024,0.4694136419136418
qcmcqg_tts_s8,0.29477139527139523,0.26922366522366525,0.24726551226551213,0.28034385549091434,0.21670172848867833,0.27487467795362536,0.30466661116661115,0.23993088590689204,0.25287032085561484,0.25898967698967695,0.2537179033556743,0.25287032085561484,0.25898967698967695,0.3249612054612054,0.31679849562202506,0.306245403289521,0.3249612054612054,0.31679849562202506,0.8700238095238092,0.713595238095238,1.0,0.37601592851592847,0.3584532134532135,0.3865987345987347
qcmcqg_kis_s6,0.14768616058863737,0.14863886113886118,0.13001272703904282,0.1688323759144193,0.12601704259265922,0.16185204501380973,0.17328468263762387,0.14788078536978794,0.1180789190169995,0.12237326158533589,0.12074219863383945,0.1180789190169995,0.12237326158533589,0.8460000000000001,0.7690909090909088,0.705,0.8460000000000001,0.7690909090909088,0.3553214563214563,0.47059174159174155,0.37601592851592847,1.0,0.8309444444444445,0.8360555555555557
qcmcqg_kis_s7,0.14790552455800132,0.14898862248862246,0.12212783415414996,0.1588974889060028,0.11746399204316538,0.15746341721573923,0.16368397941927357,0.14572393129746072,0.11475887021475258,0.11575407504432263,0.11412122217307968,0.11475887021475258,0.11575407504432263,0.7759999999999999,0.7054545454545452,0.6466666666666666,0.7759999999999999,0.7054545454545452,0.3418067488067489,0.5139642024642024,0.3584532134532135,0.8309444444444445,1.0,0.8730158730158728
qcmcqg_kis_s8,0.15936831142713498,0.16043817293817295,0.1387824561059855,0.1745362390447529,0.12794490859188953,0.17863038268920622,0.17830617533481313,0.15567999759547071,0.12490494996919145,0.12842606894309677,0.12596708683473387,0.12490494996919145,0.12842606894309677,0.79,0.718181818181818,0.6583333333333333,0.79,0.718181818181818,0.36659251859251846,0.4694136419136418,0.3865987345987347,0.8360555555555557,0.8730158730158728,1.0
